year,Value,Units,variable_code
2023,930995,Dollars (millions),H01
2023, grants and subsidies",Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,25010,Dollars (millions),H07
2023,832964,Dollars (millions),H08
2023,55267,Dollars (millions),H09
2023,7426,Dollars (millions),H10
2023,30814,Dollars (millions),H11
2023,147663,Dollars (millions),H12
2023,269,Dollars (millions),H13
2023,1639,Dollars (millions),H14
2023,566979,Dollars (millions),H19
2023,23176,Dollars (millions),H20
2023,80778,Dollars (millions),H21
2023,88197,Dollars (millions),H22
2023,105450,Dollars (millions),H23
2023,2831894,Dollars (millions),H24
2023,861255,Dollars (millions),H25
2023,681890,Dollars (millions),H26
2023,1288749,Dollars (millions),H29
2023,2831893,Dollars (millions),H30
2023,957410,Dollars (millions),H31
2023,1074693,Dollars (millions),H32
2023,799791,Dollars (millions),H33
2023,464600,Dollars,H34
2023,52600,Dollars,H35
2023,80,Percentage,H36
2023,72,Percentage,H37
2023,11,Percentage,H39
2023,4,Percentage,H40
2023,34,Percentage,H41
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023, dividends and donations", Forestry and Fishing",Dollars (millions)
2023, grants and subsidies", Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial performance, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial position, Forestry and Fishing",Dollars (millions)
